StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_cleaning_personal_care_0001_plain_waste	shared-industrialised	Cleaning and personal care	industrial;modern;nuclear;information	waste	a plain ceramic waste for domestic hygiene	This plain waste is formed chiefly from ceramic and proportioned for domestic hygiene. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	693	200	ceramic	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Cleaning and personal care matrix: plain/waste/domestic/ceramic; priced by industrial_household analogue.	true	
industrialised_cleaning_personal_care_0002_plain_brush	shared-industrialised	Cleaning and personal care	industrial;modern;nuclear;information	brush	a plain oak brush for domestic hygiene	This plain brush is formed chiefly from oak and proportioned for domestic hygiene. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	730	500	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Cleaning and personal care matrix: plain/brush/domestic/oak; priced by industrial_household analogue.	true	
industrialised_cleaning_personal_care_0003_plain_comb	shared-industrialised	Cleaning and personal care	industrial;modern;nuclear;information	comb	a plain cotton comb for domestic hygiene	This plain comb is formed chiefly from cotton and proportioned for domestic hygiene. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	767	1	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Cleaning and personal care matrix: plain/comb/domestic/cotton; priced by industrial_household analogue.	true	
industrialised_cleaning_personal_care_0004_plain_razor	shared-industrialised	Cleaning and personal care	industrial;modern;nuclear;information	razor	a plain mild steel razor for domestic hygiene	This plain razor is formed chiefly from mild steel and proportioned for domestic hygiene. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	804	2	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Cleaning and personal care matrix: plain/razor/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_cleaning_personal_care_0005_plain_sponge	shared-industrialised	Cleaning and personal care	industrial;modern;nuclear;information	sponge	a plain ceramic sponge for domestic hygiene	This plain sponge is formed chiefly from ceramic and proportioned for domestic hygiene. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	841	5	ceramic	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_cleaning_personal_care_0001_plain_waste	industrial_household	Authored Cleaning and personal care matrix: plain/sponge/domestic/ceramic; priced by industrial_household analogue.	true	salvage
industrialised_cleaning_personal_care_0006_plain_cloth	shared-industrialised	Cleaning and personal care	industrial;modern;nuclear;information	cloth	a plain oak cloth for domestic hygiene	This plain cloth is formed chiefly from oak and proportioned for domestic hygiene. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	878	10	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Cleaning and personal care matrix: plain/cloth/domestic/oak; priced by industrial_household analogue.	true	
industrialised_cleaning_personal_care_0007_plain_broom	shared-industrialised	Cleaning and personal care	industrial;modern;nuclear;information	broom	a plain cotton broom for domestic hygiene	This plain broom is formed chiefly from cotton and proportioned for domestic hygiene. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	915	20	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Cleaning and personal care matrix: plain/broom/domestic/cotton; priced by industrial_household analogue.	true	
industrialised_cleaning_personal_care_0008_plain_mop	shared-industrialised	Cleaning and personal care	industrial;modern;nuclear;information	mop	a plain mild steel mop for domestic hygiene	This plain mop is formed chiefly from mild steel and proportioned for domestic hygiene. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	952	50	mild steel	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Cleaning and personal care matrix: plain/mop/domestic/mild steel; priced by industrial_household analogue.	true	
industrialised_cleaning_personal_care_0009_plain_bucket	shared-industrialised	Cleaning and personal care	industrial;modern;nuclear;information	bucket	a plain ceramic bucket for domestic hygiene	This plain bucket is formed chiefly from ceramic and proportioned for domestic hygiene. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	989	100	ceramic	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_household	Authored Cleaning and personal care matrix: plain/bucket/domestic/ceramic; priced by industrial_household analogue.	true	
industrialised_cleaning_personal_care_0010_plain_soapdish	shared-industrialised	Cleaning and personal care	industrial;modern;nuclear;information	soapdish	a plain oak soapdish for domestic hygiene	This plain soapdish is formed chiefly from oak and proportioned for domestic hygiene. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	1026	200	oak	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_cleaning_personal_care_0001_plain_waste	industrial_household	Authored Cleaning and personal care matrix: plain/soapdish/domestic/oak; priced by industrial_household analogue.	true	salvage
