StableReference	Layer	Domain	EraAdmissions	Noun	ShortDescription	FullDescription	Size	Quality	WeightGrams	CostIndex	Material	Tags	FixedComponents	ProfileBindings	SupportedClaims	MorphTo	MorphSeconds	MorphEmote	DestroyedItem	PriceEvidence	SourceNote	Craftable	LifecycleKind
industrialised_food_drink_packaged_0001_plain_crumbs	shared-industrialised	Food, drink and packaged consumables	industrial;modern;nuclear;information	crumbs	some plain paper crumbs for domestic provisioning	These plain crumbs are formed chiefly from paper and proportioned for domestic provisioning. Their working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes them from neighbouring catalogue entries.	Small	Standard	592	100	paper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_food	Authored Food, drink and packaged consumables matrix: plain/crumbs/domestic/paper; priced by industrial_food analogue.	true	
industrialised_food_drink_packaged_0002_plain_biscuit	shared-industrialised	Food, drink and packaged consumables	industrial;modern;nuclear;information	biscuit	a plain cotton biscuit for domestic provisioning	This plain biscuit is formed chiefly from cotton and proportioned for domestic provisioning. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	629	200	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_food	Authored Food, drink and packaged consumables matrix: plain/biscuit/domestic/cotton; priced by industrial_food analogue.	true	
industrialised_food_drink_packaged_0003_plain_ration	shared-industrialised	Food, drink and packaged consumables	industrial;modern;nuclear;information	ration	a plain ceramic ration for domestic provisioning	This plain ration is formed chiefly from ceramic and proportioned for domestic provisioning. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	666	500	ceramic	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_food	Authored Food, drink and packaged consumables matrix: plain/ration/domestic/ceramic; priced by industrial_food analogue.	true	
industrialised_food_drink_packaged_0004_plain_preserve	shared-industrialised	Food, drink and packaged consumables	industrial;modern;nuclear;information	preserve	a plain paper preserve for domestic provisioning	This plain preserve is formed chiefly from paper and proportioned for domestic provisioning. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	703	1	paper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_food	Authored Food, drink and packaged consumables matrix: plain/preserve/domestic/paper; priced by industrial_food analogue.	true	
industrialised_food_drink_packaged_0005_plain_loaf	shared-industrialised	Food, drink and packaged consumables	industrial;modern;nuclear;information	loaf	a plain cotton loaf for domestic provisioning	This plain loaf is formed chiefly from cotton and proportioned for domestic provisioning. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	740	2	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_food_drink_packaged_0001_plain_crumbs	industrial_food	Authored Food, drink and packaged consumables matrix: plain/loaf/domestic/cotton; priced by industrial_food analogue.	true	salvage
industrialised_food_drink_packaged_0006_plain_cake	shared-industrialised	Food, drink and packaged consumables	industrial;modern;nuclear;information	cake	a plain ceramic cake for domestic provisioning	This plain cake is formed chiefly from ceramic and proportioned for domestic provisioning. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	777	5	ceramic	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_food	Authored Food, drink and packaged consumables matrix: plain/cake/domestic/ceramic; priced by industrial_food analogue.	true	
industrialised_food_drink_packaged_0007_plain_pudding	shared-industrialised	Food, drink and packaged consumables	industrial;modern;nuclear;information	pudding	a plain paper pudding for domestic provisioning	This plain pudding is formed chiefly from paper and proportioned for domestic provisioning. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	814	10	paper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_food	Authored Food, drink and packaged consumables matrix: plain/pudding/domestic/paper; priced by industrial_food analogue.	true	
industrialised_food_drink_packaged_0008_plain_sausage	shared-industrialised	Food, drink and packaged consumables	industrial;modern;nuclear;information	sausage	a plain cotton sausage for domestic provisioning	This plain sausage is formed chiefly from cotton and proportioned for domestic provisioning. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	851	20	cotton	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_food	Authored Food, drink and packaged consumables matrix: plain/sausage/domestic/cotton; priced by industrial_food analogue.	true	
industrialised_food_drink_packaged_0009_plain_pickle	shared-industrialised	Food, drink and packaged consumables	industrial;modern;nuclear;information	pickle	a plain ceramic pickle for domestic provisioning	This plain pickle is formed chiefly from ceramic and proportioned for domestic provisioning. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	888	50	ceramic	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0			industrial_food	Authored Food, drink and packaged consumables matrix: plain/pickle/domestic/ceramic; priced by industrial_food analogue.	true	
industrialised_food_drink_packaged_0010_plain_sweet	shared-industrialised	Food, drink and packaged consumables	industrial;modern;nuclear;information	sweet	a plain paper sweet for domestic provisioning	This plain sweet is formed chiefly from paper and proportioned for domestic provisioning. Its working edges, contact points and load-bearing surfaces are finished for repeated handling, while visible joins make the method of construction easy to inspect. The particular balance of form, material and service duty distinguishes it from neighbouring catalogue entries.	Small	Standard	925	100	paper	Era / Industrial Era;Era / Modern Era;Era / Nuclear Era;Era / Information Age Era	Holdable		portable		0		industrialised_food_drink_packaged_0001_plain_crumbs	industrial_food	Authored Food, drink and packaged consumables matrix: plain/sweet/domestic/paper; priced by industrial_food analogue.	true	salvage
