manifest_reference	admissions	context	service_name	ordered_entries	course_order	portion_rationale	coverage	review_status
industrial_food_serving_factory_breakfast	industrial	workplace	factory-shift breakfast	item:industrialised_food_staples_001:300g;item:industrialised_food_dairy_egg_001:120g;liquid:industrialised_food_stimulant_001:300ml	1;1;2	Substantial mixed breakfast before manual shift work.	working class;temperate;institutional	proposed
industrial_food_serving_mill_lunch	industrial	workplace	mill-worker midday meal	item:industrialised_food_composite_001:450g;item:industrialised_food_baking_001:120g;liquid:industrialised_food_non_alcoholic_001:400ml	1;1;1	Single-course portable meal with drink and additional staple.	working class;institutional;temperate	proposed
industrial_food_serving_railway_refreshment	industrial	transport	railway refreshment service	item:industrialised_food_composite_002:320g;item:industrialised_food_dessert_001:90g;liquid:industrialised_food_stimulant_002:250ml	1;2;2	Compact seated service suitable for a station or dining carriage.	middle income;transport;trade	proposed
industrial_food_serving_hospital_soft	industrial;modern;nuclear;information	hospital	hospital soft meal	item:industrialised_food_composite_003:300g;item:industrialised_food_infant_dietetic_001:180g;liquid:industrialised_food_non_alcoholic_002:250ml	1;1;1	Moderate soft-textured meal; no universal clinical suitability claim.	care institution;dietetic;temperate	proposed
industrial_food_serving_school_midday	industrial;modern;nuclear;information	school	school midday meal	item:industrialised_food_composite_004:350g;item:industrialised_food_fruit_nut_001:120g;liquid:industrialised_food_non_alcoholic_003:250ml	1;2;1	Age-adjustable institutional template with separate fruit and drink.	school;institutional;ordinary	proposed
industrial_food_serving_prison_standard	industrial;modern;nuclear;information	prison	standard prison meal	item:industrialised_food_staples_002:300g;item:industrialised_food_plant_001:250g;liquid:industrialised_food_non_alcoholic_004:350ml	1;1;1	Plain adequate meal; the manifest does not encode punitive starvation.	prison;institutional;low cost	proposed
industrial_food_serving_naval_watch	industrial;modern;nuclear;information	maritime	naval watch meal	item:industrialised_food_ration_001:250g;item:industrialised_food_preserve_condiment_001:80g;liquid:industrialised_food_stimulant_003:300ml	1;1;1	Durable components served separately during watch rotation.	maritime;military;temperate	proposed
industrial_food_serving_mine_shift	industrial;modern;nuclear;information	workplace	mine-shift meal	item:industrialised_food_composite_005:500g;item:industrialised_food_baking_002:150g;liquid:industrialised_food_non_alcoholic_005:500ml	1;1;1	High-energy meal and generous fluid serving for heavy work.	working class;workplace;manual labour	proposed
industrial_food_serving_relief_basic	industrial;modern;nuclear;information	emergency	basic relief meal	item:industrialised_food_ration_002:300g;item:industrialised_food_plant_002:180g;liquid:industrialised_food_non_alcoholic_006:500ml	1;1;1	Simple individually countable relief components, not an imaginary package.	relief;emergency;low cost	proposed
industrial_food_serving_religious_fast	industrial;modern;nuclear;information	religious institution	fasting-day communal meal	item:industrialised_food_plant_003:350g;item:industrialised_food_baking_003:120g;item:industrialised_food_fruit_nut_002:100g;liquid:industrialised_food_non_alcoholic_007:300ml	1;1;2;1	Plant-focused proposal whose exact suitability still depends on reviewed ingredients.	religious;communal;plant foods	proposed
