stable_reference	scope	kind	family	noun	short_description	full_description	taste	material	nutrition	freshness	quality	weight_grams	cost	admission_profile
earlymodern_food_french_roux_veloute_fowl	EarlyModern	Prepared	Poultry	fowl	fowl in an early velouté sauce	Tender fowl is dressed in stock thickened with pale roux, reflecting a codified French sauce system.	Silky flour-bound stock carries mellow poultry, butter richness, and gentle herbs.	meat	Rich	Cooked	VeryGood	550	38	EraSpecific
earlymodern_food_french_bechamel_baked_fish	EarlyModern	Prepared	Fish	fish	fish baked under béchamel	A fine fish fillet bakes beneath a milk-and-roux sauce associated with developing French court cuisine.	Creamy sauce softens clean brine with nutmeg-like warmth and browned richness.	fish	Rich	Cooked	VeryGood	500	39	EraSpecific
earlymodern_food_french_brown_ragout_meat	EarlyModern	Prepared	Meat	ragout	a brown ragout of meat	Small meat pieces simmer in a flour-thickened brown sauce built through careful browning and reduction.	Caramelised stock, tender meat, pepper, and herbs taste deeply concentrated.	meat	Rich	Cooked	VeryGood	600	40	EraSpecific
earlymodern_food_french_white_fricassee_chicken	EarlyModern	Prepared	Poultry	fricassee	a white chicken fricassee	Jointed chicken is gently stewed without browning in a pale liaison of stock, cream, and egg.	Delicate poultry and silky sauce carry lemon-like sharpness and soft spice.	meat	Rich	Cooked	VeryGood	650	42	EraSpecific
earlymodern_food_french_mushroom_ragout	EarlyModern	Prepared	Vegetable	ragout	a refined mushroom ragout	Assorted mushrooms simmer in reduced stock with roux and herbs as a composed French side dish.	Woodland depth, butter, pepper, and glossy savour coat each tender piece.	vegetable	Rich	Cooked	VeryGood	450	35	EraSpecific
earlymodern_food_french_glazed_root_entremet	EarlyModern	Prepared	Vegetable	entremet	a glazed root entremet	Precisely cut roots are cooked down beneath a shining sweet-savoury glaze for formal service.	Caramelised vegetable sweetness meets stock, butter, and restrained salt.	vegetable	Rich	Cooked	VeryGood	400	31	EraSpecific
earlymodern_food_french_service_royal_poultry	EarlyModern	Prepared	Poultry	platter	a royal service poultry platter	Several separately prepared poultry cuts are symmetrically arranged with garnishes for service à la française.	Roasted, poached, and sauced morsels offer varied richness, herbs, and spice.	meat	Feast	Cooked	Great	1400	80	EraSpecific
earlymodern_food_french_hors_doeuvre_anchovy_toasts	EarlyModern	Prepared	Fish	toasts	anchovy hors-d'oeuvre toasts	Small crisp toasts carry pounded salted fish and sharp garnishes among a formal first spread.	Intense brine, toasted wheat, sourness, and herbs wake the appetite.	bread	Rich	Cooked	VeryGood	220	26	EraSpecific
earlymodern_food_french_entremet_spinach_custard	EarlyModern	Prepared	Vegetable	entremet	a spinach custard entremet	Strained spinach and egg set into a smooth green mould for placement between grand courses.	Silky egg richness tempers leafy bitterness with butter and pepper.	egg	Rich	Cooked	VeryGood	400	32	EraSpecific
earlymodern_food_french_puff_pastry_game_pie	EarlyModern	Prepared	Meat	pie	a puff-pastry game pie	Laminated butter pastry rises in crisp layers above a refined game and mushroom filling.	Flaky richness opens onto dark meat, woodland savour, and peppery sauce.	meat	Feast	Cooked	Great	800	55	EraSpecific
