Route	Order	DurationSeconds	Description
route_industrialised_food_staples_001	1	60	complete the defined preparation stage
route_industrialised_food_staples_002	1	60	complete the defined preparation stage
route_industrialised_food_staples_003	1	60	complete the defined preparation stage
route_industrialised_food_staples_004	1	60	complete the defined preparation stage
route_industrialised_food_staples_005	1	60	complete the defined preparation stage
route_industrialised_food_staples_006	1	60	complete the defined preparation stage
route_industrialised_food_staples_007	1	60	complete the defined preparation stage
route_industrialised_food_staples_008	1	60	complete the defined preparation stage
route_industrialised_food_staples_009	1	60	complete the defined preparation stage
route_industrialised_food_staples_010	1	60	complete the defined preparation stage
route_industrial_food_staples_001	1	60	complete the defined preparation stage
route_industrial_food_staples_002	1	60	complete the defined preparation stage
route_modern_food_staples_001	1	60	complete the defined preparation stage
route_modern_food_staples_002	1	60	complete the defined preparation stage
route_modern_food_staples_003	1	60	complete the defined preparation stage
route_nuclear_food_staples_001	1	60	complete the defined preparation stage
route_information_food_staples_001	1	60	complete the defined preparation stage
route_industrialised_food_baking_001	1	60	complete the defined preparation stage
route_industrialised_food_baking_002	1	60	complete the defined preparation stage
route_industrialised_food_baking_003	1	60	complete the defined preparation stage
route_industrialised_food_baking_004	1	60	complete the defined preparation stage
route_industrialised_food_baking_005	1	60	complete the defined preparation stage
route_industrialised_food_baking_006	1	60	complete the defined preparation stage
route_industrialised_food_baking_007	1	60	complete the defined preparation stage
route_industrialised_food_baking_008	1	60	complete the defined preparation stage
route_industrialised_food_baking_009	1	60	complete the defined preparation stage
route_industrialised_food_baking_010	1	60	complete the defined preparation stage
route_industrialised_food_baking_011	1	60	complete the defined preparation stage
route_industrialised_food_baking_012	1	60	complete the defined preparation stage
route_industrialised_food_baking_013	1	60	complete the defined preparation stage
route_industrialised_food_baking_014	1	60	complete the defined preparation stage
route_industrialised_food_baking_015	1	60	complete the defined preparation stage
route_industrialised_food_baking_016	1	60	complete the defined preparation stage
route_industrial_food_baking_001	1	60	complete the defined preparation stage
route_industrial_food_baking_002	1	60	complete the defined preparation stage
