stable_reference	scope	kind	family	noun	short_description	full_description	taste	material	nutrition	freshness	quality	weight_grams	cost	admission_profile
medieval_food_lenten_almond_fish_pottage	Medieval	Prepared	Fish	pottage	a Lenten almond-and-fish pottage	Flaked fish and ground almond milk form a pale fasting-day pottage thickened with fine bread.	Nutty creaminess softens the fish's brine beneath restrained spice.	fish	Rich	Cooked	Good	500	24	EraSpecific
medieval_food_almond_milk_mortrews	Medieval	Prepared	Meat	mortrews	almond-milk mortrews	Finely pounded meat is worked with almond milk and crumbs into a smooth, spoon-standing medieval dish.	Rich meat savour emerges through nutty milk, pepper, and soft wheat.	meat	Rich	Cooked	Good	450	23	EraSpecific
medieval_food_white_fasting_blaunche	Medieval	Prepared	Fish	blaunche	a white fasting-day blaunche	Rice, almond milk, and pale fish are cooked to an intentionally white, courtly Lenten preparation.	Delicate sweetness, clean brine, and warm spice mingle softly.	rice	Rich	Cooked	VeryGood	420	28	EraSpecific
medieval_food_chicken_rice_blancmanger	Medieval	Prepared	Poultry	blancmanger	a chicken-and-rice blancmanger	Shredded chicken, rice, and almond milk are pounded into a smooth white dish prized at elite tables.	Mellow poultry and nut richness carry cinnamon-like warmth and gentle sweetness.	meat	Rich	Cooked	VeryGood	450	30	EraSpecific
medieval_food_coloured_blancmanger_quarters	Medieval	Prepared	Poultry	blancmanger	a quartered coloured blancmanger	Four differently tinted portions of chicken blancmanger meet in an elaborate moulded court presentation.	Subtle poultry, almond, spice, and sweetness vary across the coloured quarters.	meat	Feast	Cooked	Great	600	45	EraSpecific
medieval_food_bread_trencher_meat_sops	Medieval	Prepared	Meat	trencher	a trencher soaked with meat juices	A thick stale bread trencher carries carved meat scraps and the rich juices caught during service.	Toasted sour crumb absorbs peppery fat, salt, and roast savour.	bread	Hearty	Cooked	Standard	500	13	EraSpecific
medieval_food_fasting_trencher_fish_sops	Medieval	Prepared	Fish	trencher	a fasting trencher with fish sops	A coarse bread trencher is saturated with fish broth, herbs, and flakes from a Lenten board.	Sour bread and marine stock combine with green bitterness and pepper.	bread	Hearty	Cooked	Standard	480	14	EraSpecific
medieval_food_spiced_wine_trencher_sops	Medieval	Prepared	Bread	sops	spiced wine trencher sops	Fine trencher bread has been softened in sweetened spiced wine as a closing course.	Fruity acidity, honey, and warm spice soak the yielding wheat.	bread	Rich	Cooked	Good	300	17	EraSpecific
medieval_food_pottage_filled_trencher	Medieval	Prepared	Stew	trencher	a pottage-filled bread trencher	A hollowed trencher holds thick pulse-and-meat pottage, turning tableware into the final edible portion.	Earthy stew juices penetrate dense sour bread with herbs and fat.	bread	Hearty	Cooked	Standard	650	16	EraSpecific
medieval_food_gilded_court_trencher	Medieval	Prepared	Bread	trencher	a gilded court trencher	A fine bread trencher bears arranged morsels, coloured glaze, and a delicate edible golden finish.	Sweet spice and rich savour alternate over soft juice-soaked wheat.	bread	Feast	Cooked	Great	500	48	EraSpecific
