unique_reference,owner_era,availability,family,subfamily,culture_admission,noun,sdesc,material,size,quality,weight_g,cost,tags,components,craft_category,craft_trait,builder_notes
earlymodern_jewellery_fr_ring_01,Early Modern,Early Modern,Jewellery & devotional,personal adornment,French Baroque court and urban,ring,a shell pearl ring,pearl,Tiny,Standard,20,8,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Ring; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission French Baroque court and urban; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_fr_signet_ring_02,Early Modern,Early Modern,Jewellery & devotional,personal adornment,French Baroque court and urban,ring,a reed amber ring,amber,Tiny,VeryGood,27,17,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Ring; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission French Baroque court and urban; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_fr_pendant_03,Early Modern,Early Modern,Jewellery & devotional,personal adornment,French Baroque court and urban,pendant,a rosette coral pendant,coral,Tiny,Good,34,26,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Pendants; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Early Modern personal adornment catalogue; culture admission French Baroque court and urban; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_fr_bead_necklace_04,Early Modern,Early Modern,Jewellery & devotional,personal adornment,French Baroque court and urban,necklace,a checker garnet necklace,garnet,Tiny,Standard,41,35,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission French Baroque court and urban; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_fr_chain_necklace_05,Early Modern,Early Modern,Jewellery & devotional,personal adornment,French Baroque court and urban,necklace,a braided agate necklace,agate,Tiny,VeryGood,48,44,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission French Baroque court and urban; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_fr_bracelet_06,Early Modern,Early Modern,Jewellery & devotional,personal adornment,French Baroque court and urban,bracelet,a radiating carnelian bracelet,carnelian,Tiny,Good,55,53,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bracelets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Bracelet; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission French Baroque court and urban; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_fr_armlet_07,Early Modern,Early Modern,Jewellery & devotional,personal adornment,French Baroque court and urban,armlet,a leaf-scroll lapis lazuli armlet,lapis lazuli,Tiny,Standard,62,62,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Armlets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Armlet; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission French Baroque court and urban; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_fr_anklet_08,Early Modern,Early Modern,Jewellery & devotional,personal adornment,French Baroque court and urban,anklet,a sunburst turquoise anklet,turquoise,Tiny,Poor,69,71,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Anklets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Anklet; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission French Baroque court and urban; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_fr_earrings_09,Early Modern,Early Modern,Jewellery & devotional,personal adornment,French Baroque court and urban,earrings,a water-wave jade earrings,jade,Tiny,Standard,76,80,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Earrings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Earrings; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission French Baroque court and urban; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_fr_brooch_10,Early Modern,Early Modern,Jewellery & devotional,personal adornment,French Baroque court and urban,brooch,a knotted quartz brooch,quartz,Tiny,Good,83,89,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Brooches; Market / Jewellery / Standard Jewellery,Holdable; Wear_Brooch; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission French Baroque court and urban; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_fr_pin_11,Early Modern,Early Modern,Jewellery & devotional,personal adornment,French Baroque court and urban,pin,a flower-head faience pin,faience,Tiny,Good,90,98,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Pins; Market / Jewellery / Standard Jewellery,Holdable; Wear_Pin; Destroyable_Glassware,Jewellery and devotional work,Glassworking,Early Modern personal adornment catalogue; culture admission French Baroque court and urban; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_fr_hairpin_12,Early Modern,Early Modern,Jewellery & devotional,personal adornment,French Baroque court and urban,hairpin,a star pewter hairpin,pewter,Tiny,Standard,20,107,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Hair Ornaments; Market / Jewellery / Standard Jewellery,Holdable; Wear_Hairpin; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission French Baroque court and urban; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_fr_circlet_13,Early Modern,Early Modern,Jewellery & devotional,personal adornment,French Baroque court and urban,circlet,a bird copper circlet,copper,Tiny,VeryGood,27,116,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Circlets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Circlet; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission French Baroque court and urban; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_fr_diadem_14,Early Modern,Early Modern,Jewellery & devotional,personal adornment,French Baroque court and urban,diadem,a vine bronze diadem,bronze,Tiny,Good,34,125,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Diadems; Market / Jewellery / Standard Jewellery,Holdable; Wear_Diadem; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission French Baroque court and urban; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_fr_waist_chain_15,Early Modern,Early Modern,Jewellery & devotional,personal adornment,French Baroque court and urban,waist chain,a geometric silver waist chain,silver,Tiny,Standard,41,134,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Waist Chains; Market / Jewellery / Standard Jewellery,Holdable; Wear_Waist_Chain; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission French Baroque court and urban; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_fr_belt_ornament_16,Early Modern,Early Modern,Jewellery & devotional,personal adornment,French Baroque court and urban,belt ornament,a cloud gold belt ornament,gold,Tiny,Poor,48,143,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Belt Ornaments; Market / Jewellery / Standard Jewellery,Holdable; Wear_Belt_Ornament; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission French Baroque court and urban; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_fr_badge_17,Early Modern,Early Modern,Jewellery & devotional,personal adornment,French Baroque court and urban,badge,a shell brass badge,brass,Tiny,Standard,55,152,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Badges; Market / Jewellery / Standard Jewellery,Holdable; Wear_Badge; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission French Baroque court and urban; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_fr_temple_ring_18,Early Modern,Early Modern,Jewellery & devotional,personal adornment,French Baroque court and urban,temple ring,a reed glass temple ring,glass,Tiny,Good,62,8,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Temple Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Temple_Rings; Destroyable_Glassware,Jewellery and devotional work,Glassworking,Early Modern personal adornment catalogue; culture admission French Baroque court and urban; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_fr_torc_19,Early Modern,Early Modern,Jewellery & devotional,personal adornment,French Baroque court and urban,torc,a rosette bone torc,bone,Tiny,Good,69,17,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Torcs; Market / Jewellery / Standard Jewellery,Holdable; Wear_Torc; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Early Modern personal adornment catalogue; culture admission French Baroque court and urban; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_fr_wreath_20,Early Modern,Early Modern,Jewellery & devotional,personal adornment,French Baroque court and urban,wreath,a checker shell wreath,shell,Tiny,Standard,76,26,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Wreaths; Market / Jewellery / Standard Jewellery,Holdable; Wear_Wreath; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Early Modern personal adornment catalogue; culture admission French Baroque court and urban; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_nl_ring_21,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Dutch Republic and Low Countries,ring,a flower-head amber ring,amber,Tiny,VeryGood,83,35,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Ring; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_nl_signet_ring_22,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Dutch Republic and Low Countries,ring,a star coral ring,coral,Tiny,Good,90,44,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Ring; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Early Modern personal adornment catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_nl_pendant_23,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Dutch Republic and Low Countries,pendant,a bird garnet pendant,garnet,Tiny,Standard,20,53,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Pendants; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_nl_bead_necklace_24,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Dutch Republic and Low Countries,necklace,a vine agate necklace,agate,Tiny,Poor,27,62,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_nl_chain_necklace_25,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Dutch Republic and Low Countries,necklace,a geometric carnelian necklace,carnelian,Tiny,Standard,34,71,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_nl_bracelet_26,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Dutch Republic and Low Countries,bracelet,a cloud lapis lazuli bracelet,lapis lazuli,Tiny,Good,41,80,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bracelets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Bracelet; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_nl_armlet_27,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Dutch Republic and Low Countries,armlet,a shell turquoise armlet,turquoise,Tiny,Good,48,89,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Armlets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Armlet; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_nl_anklet_28,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Dutch Republic and Low Countries,anklet,a reed jade anklet,jade,Tiny,Standard,55,98,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Anklets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Anklet; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_nl_earrings_29,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Dutch Republic and Low Countries,earrings,a rosette quartz earrings,quartz,Tiny,VeryGood,62,107,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Earrings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Earrings; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_nl_brooch_30,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Dutch Republic and Low Countries,brooch,a checker faience brooch,faience,Tiny,Good,69,116,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Brooches; Market / Jewellery / Standard Jewellery,Holdable; Wear_Brooch; Destroyable_Glassware,Jewellery and devotional work,Glassworking,Early Modern personal adornment catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_nl_pin_31,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Dutch Republic and Low Countries,pin,a braided pewter pin,pewter,Tiny,Standard,76,125,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Pins; Market / Jewellery / Standard Jewellery,Holdable; Wear_Pin; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_nl_hairpin_32,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Dutch Republic and Low Countries,hairpin,a radiating copper hairpin,copper,Tiny,Poor,83,134,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Hair Ornaments; Market / Jewellery / Standard Jewellery,Holdable; Wear_Hairpin; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_nl_circlet_33,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Dutch Republic and Low Countries,circlet,a leaf-scroll bronze circlet,bronze,Tiny,Standard,90,143,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Circlets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Circlet; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_nl_diadem_34,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Dutch Republic and Low Countries,diadem,a sunburst silver diadem,silver,Tiny,Good,20,152,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Diadems; Market / Jewellery / Standard Jewellery,Holdable; Wear_Diadem; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_nl_waist_chain_35,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Dutch Republic and Low Countries,waist chain,a water-wave gold waist chain,gold,Tiny,Good,27,8,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Waist Chains; Market / Jewellery / Standard Jewellery,Holdable; Wear_Waist_Chain; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_nl_belt_ornament_36,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Dutch Republic and Low Countries,belt ornament,a knotted brass belt ornament,brass,Tiny,Standard,34,17,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Belt Ornaments; Market / Jewellery / Standard Jewellery,Holdable; Wear_Belt_Ornament; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_nl_badge_37,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Dutch Republic and Low Countries,badge,a flower-head glass badge,glass,Tiny,VeryGood,41,26,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Badges; Market / Jewellery / Standard Jewellery,Holdable; Wear_Badge; Destroyable_Glassware,Jewellery and devotional work,Glassworking,Early Modern personal adornment catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_nl_temple_ring_38,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Dutch Republic and Low Countries,temple ring,a star bone temple ring,bone,Tiny,Good,48,35,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Temple Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Temple_Rings; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Early Modern personal adornment catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_nl_torc_39,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Dutch Republic and Low Countries,torc,a bird shell torc,shell,Tiny,Standard,55,44,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Torcs; Market / Jewellery / Standard Jewellery,Holdable; Wear_Torc; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Early Modern personal adornment catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_nl_wreath_40,Early Modern,Early Modern,Jewellery & devotional,personal adornment,Dutch Republic and Low Countries,wreath,a vine ivory wreath,ivory,Tiny,Poor,62,53,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Wreaths; Market / Jewellery / Standard Jewellery,Holdable; Wear_Wreath; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Early Modern personal adornment catalogue; culture admission Dutch Republic and Low Countries; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_gb_ring_41,Early Modern,Early Modern,Jewellery & devotional,personal adornment,British Stuart Georgian,ring,a checker copper ring,copper,Tiny,Standard,69,62,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Ring; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission British Stuart Georgian; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_gb_signet_ring_42,Early Modern,Early Modern,Jewellery & devotional,personal adornment,British Stuart Georgian,ring,a braided bronze ring,bronze,Tiny,Excellent,76,71,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Rings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Ring; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission British Stuart Georgian; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_gb_pendant_43,Early Modern,Early Modern,Jewellery & devotional,personal adornment,British Stuart Georgian,pendant,a radiating silver pendant,silver,Tiny,Good,83,80,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Pendants; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission British Stuart Georgian; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_gb_bead_necklace_44,Early Modern,Early Modern,Jewellery & devotional,personal adornment,British Stuart Georgian,necklace,a leaf-scroll gold necklace,gold,Tiny,Standard,90,89,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bead Strings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission British Stuart Georgian; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_gb_chain_necklace_45,Early Modern,Early Modern,Jewellery & devotional,personal adornment,British Stuart Georgian,necklace,a sunburst brass necklace,brass,Tiny,VeryGood,20,98,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Necklaces; Market / Jewellery / Standard Jewellery,Holdable; Wear_Necklace; Destroyable_HeavyMetal,Jewellery and devotional work,Silversmithing,Early Modern personal adornment catalogue; culture admission British Stuart Georgian; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_gb_bracelet_46,Early Modern,Early Modern,Jewellery & devotional,personal adornment,British Stuart Georgian,bracelet,a water-wave glass bracelet,glass,Tiny,Good,27,107,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Bracelets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Bracelet; Destroyable_Glassware,Jewellery and devotional work,Glassworking,Early Modern personal adornment catalogue; culture admission British Stuart Georgian; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_gb_armlet_47,Early Modern,Early Modern,Jewellery & devotional,personal adornment,British Stuart Georgian,armlet,a knotted bone armlet,bone,Tiny,Standard,34,116,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Armlets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Armlet; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Early Modern personal adornment catalogue; culture admission British Stuart Georgian; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_gb_anklet_48,Early Modern,Early Modern,Jewellery & devotional,personal adornment,British Stuart Georgian,anklet,a flower-head shell anklet,shell,Tiny,Poor,41,125,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Anklets; Market / Jewellery / Standard Jewellery,Holdable; Wear_Anklet; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Early Modern personal adornment catalogue; culture admission British Stuart Georgian; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_gb_earrings_49,Early Modern,Early Modern,Jewellery & devotional,personal adornment,British Stuart Georgian,earrings,a star ivory earrings,ivory,Tiny,Standard,48,134,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Earrings; Market / Jewellery / Standard Jewellery,Holdable; Wear_Earrings; Destroyable_Misc,Jewellery and devotional work,Scrimshawing,Early Modern personal adornment catalogue; culture admission British Stuart Georgian; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
earlymodern_jewellery_gb_brooch_50,Early Modern,Early Modern,Jewellery & devotional,personal adornment,British Stuart Georgian,brooch,a bird pearl brooch,pearl,Tiny,Good,55,143,Era / Early Modern Era; Functions / Worn Items / Jewellery; Functions / Worn Items / Jewellery / Brooches; Market / Jewellery / Standard Jewellery,Holdable; Wear_Brooch; Destroyable_Misc,Jewellery and devotional work,Gemcraft,Early Modern personal adornment catalogue; culture admission British Stuart Georgian; availability Early Modern. Description is form-led and makes no unsupported devotional or mechanical claim.
