OutfitReference	Name	Description	EraAdmissions	ItemStableReferences
industrialised_outfit_001	Industrialised domestic loadout 1	A practical four-piece domestic outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0002_plain_apron;industrialised_clothing_footwear_uniforms_0003_plain_shirt;industrialised_clothing_footwear_uniforms_0004_plain_trousers;industrialised_clothing_footwear_uniforms_0005_plain_boots
industrialised_outfit_002	Industrialised workshop loadout 2	A practical four-piece workshop outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0006_plain_dress;industrialised_clothing_footwear_uniforms_0007_plain_jacket;industrialised_clothing_footwear_uniforms_0008_plain_hat;industrialised_clothing_footwear_uniforms_0009_plain_gloves
industrialised_outfit_003	Industrialised field loadout 3	A practical four-piece field outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0010_plain_scarf;industrialised_clothing_footwear_uniforms_0011_plain_skirt;industrialised_clothing_footwear_uniforms_0012_plain_socks;industrialised_clothing_footwear_uniforms_0013_plain_vest
industrialised_outfit_004	Industrialised retail loadout 4	A practical four-piece retail outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0014_plain_coat;industrialised_clothing_footwear_uniforms_0015_plain_smock;industrialised_clothing_footwear_uniforms_0017_reinforced_apron;industrialised_clothing_footwear_uniforms_0018_reinforced_shirt
industrialised_outfit_005	Industrialised institutional loadout 5	A practical four-piece institutional outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0019_reinforced_trousers;industrialised_clothing_footwear_uniforms_0020_reinforced_boots;industrialised_clothing_footwear_uniforms_0021_reinforced_dress;industrialised_clothing_footwear_uniforms_0022_reinforced_jacket
industrialised_outfit_006	Industrialised transport loadout 6	A practical four-piece transport outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0023_reinforced_hat;industrialised_clothing_footwear_uniforms_0024_reinforced_gloves;industrialised_clothing_footwear_uniforms_0025_reinforced_scarf;industrialised_clothing_footwear_uniforms_0026_reinforced_skirt
industrialised_outfit_007	Industrialised civic loadout 7	A practical four-piece civic outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0027_reinforced_socks;industrialised_clothing_footwear_uniforms_0028_reinforced_vest;industrialised_clothing_footwear_uniforms_0029_reinforced_coat;industrialised_clothing_footwear_uniforms_0030_reinforced_smock
industrialised_outfit_008	Industrialised commercial loadout 8	A practical four-piece commercial outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0032_compact_apron;industrialised_clothing_footwear_uniforms_0033_compact_shirt;industrialised_clothing_footwear_uniforms_0034_compact_trousers;industrialised_clothing_footwear_uniforms_0035_compact_boots
industrialised_outfit_009	Industrialised medical loadout 9	A practical four-piece medical outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0036_compact_dress;industrialised_clothing_footwear_uniforms_0037_compact_jacket;industrialised_clothing_footwear_uniforms_0038_compact_hat;industrialised_clothing_footwear_uniforms_0039_compact_gloves
industrialised_outfit_010	Industrialised service loadout 10	A practical four-piece service outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0040_compact_scarf;industrialised_clothing_footwear_uniforms_0041_compact_skirt;industrialised_clothing_footwear_uniforms_0042_compact_socks;industrialised_clothing_footwear_uniforms_0043_compact_vest
industrialised_outfit_011	Industrialised domestic loadout 11	A practical four-piece domestic outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0044_compact_coat;industrialised_clothing_footwear_uniforms_0045_compact_smock;industrialised_clothing_footwear_uniforms_0047_heavy_duty_apron;industrialised_clothing_footwear_uniforms_0048_heavy_duty_shirt
industrialised_outfit_012	Industrialised workshop loadout 12	A practical four-piece workshop outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0049_heavy_duty_trousers;industrialised_clothing_footwear_uniforms_0050_heavy_duty_boots;industrialised_clothing_footwear_uniforms_0051_heavy_duty_dress;industrialised_clothing_footwear_uniforms_0052_heavy_duty_jacket
industrialised_outfit_013	Industrialised field loadout 13	A practical four-piece field outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0053_heavy_duty_hat;industrialised_clothing_footwear_uniforms_0054_heavy_duty_gloves;industrialised_clothing_footwear_uniforms_0055_heavy_duty_scarf;industrialised_clothing_footwear_uniforms_0056_heavy_duty_skirt
industrialised_outfit_014	Industrialised retail loadout 14	A practical four-piece retail outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0057_heavy_duty_socks;industrialised_clothing_footwear_uniforms_0058_heavy_duty_vest;industrialised_clothing_footwear_uniforms_0059_heavy_duty_coat;industrialised_clothing_footwear_uniforms_0060_heavy_duty_smock
industrialised_outfit_015	Industrialised institutional loadout 15	A practical four-piece institutional outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0062_folding_apron;industrialised_clothing_footwear_uniforms_0063_folding_shirt;industrialised_clothing_footwear_uniforms_0064_folding_trousers;industrialised_clothing_footwear_uniforms_0065_folding_boots
industrialised_outfit_016	Industrialised transport loadout 16	A practical four-piece transport outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0066_folding_dress;industrialised_clothing_footwear_uniforms_0067_folding_jacket;industrialised_clothing_footwear_uniforms_0068_folding_hat;industrialised_clothing_footwear_uniforms_0069_folding_gloves
industrialised_outfit_017	Industrialised civic loadout 17	A practical four-piece civic outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0070_folding_scarf;industrialised_clothing_footwear_uniforms_0071_folding_skirt;industrialised_clothing_footwear_uniforms_0072_folding_socks;industrialised_clothing_footwear_uniforms_0073_folding_vest
industrialised_outfit_018	Industrialised commercial loadout 18	A practical four-piece commercial outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0074_folding_coat;industrialised_clothing_footwear_uniforms_0075_folding_smock;industrialised_clothing_footwear_uniforms_0077_portable_apron;industrialised_clothing_footwear_uniforms_0078_portable_shirt
industrialised_outfit_019	Industrialised medical loadout 19	A practical four-piece medical outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0079_portable_trousers;industrialised_clothing_footwear_uniforms_0080_portable_boots;industrialised_clothing_footwear_uniforms_0081_portable_dress;industrialised_clothing_footwear_uniforms_0082_portable_jacket
industrialised_outfit_020	Industrialised service loadout 20	A practical four-piece service outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0083_portable_hat;industrialised_clothing_footwear_uniforms_0084_portable_gloves;industrialised_clothing_footwear_uniforms_0085_portable_scarf;industrialised_clothing_footwear_uniforms_0086_portable_skirt
industrialised_outfit_021	Industrialised domestic loadout 21	A practical four-piece domestic outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0087_portable_socks;industrialised_clothing_footwear_uniforms_0088_portable_vest;industrialised_clothing_footwear_uniforms_0089_portable_coat;industrialised_clothing_footwear_uniforms_0090_portable_smock
industrialised_outfit_022	Industrialised workshop loadout 22	A practical four-piece workshop outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0092_workshop_apron;industrialised_clothing_footwear_uniforms_0093_workshop_shirt;industrialised_clothing_footwear_uniforms_0094_workshop_trousers;industrialised_clothing_footwear_uniforms_0095_workshop_boots
industrialised_outfit_023	Industrialised field loadout 23	A practical four-piece field outfit assembled from compatible industrialised garments.	industrial;modern;nuclear;information	industrialised_clothing_footwear_uniforms_0096_workshop_dress;industrialised_clothing_footwear_uniforms_0097_workshop_jacket;industrialised_clothing_footwear_uniforms_0098_workshop_hat;industrialised_clothing_footwear_uniforms_0099_workshop_gloves
