unique_reference,owner_era,availability,family,subfamily,culture_admission,noun,sdesc,material,size,quality,weight_g,cost,tags,components,craft_category,craft_trait,builder_notes
earlymodern_door_fr_panel_door_01,Early Modern,Early Modern,"Doors, locks & gates",door or gate,French Baroque court and urban,door,a braided oak door leaf,oak,Large,Standard,24000,45,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission French Baroque court and urban; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_fr_braced_door_02,Early Modern,Early Modern,"Doors, locks & gates",door or gate,French Baroque court and urban,door,a leaf-scroll pine braced door,pine,Large,Good,25800,56,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Tough_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission French Baroque court and urban; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_fr_lockable_door_03,Early Modern,Early Modern,"Doors, locks & gates",door or gate,French Baroque court and urban,door,a water-wave cedar lockable door,cedar,Large,Good,27600,67,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission French Baroque court and urban; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_fr_secure_door_04,Early Modern,Early Modern,"Doors, locks & gates",door or gate,French Baroque court and urban,door,a flower-head teak secure door,teak,Large,Standard,29400,78,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Secure_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission French Baroque court and urban; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_fr_shutter_05,Early Modern,Early Modern,"Doors, locks & gates",door or gate,French Baroque court and urban,shutter,a bird wood shuttered opening,wood,Large,VeryGood,31200,89,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission French Baroque court and urban; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_fr_screen_06,Early Modern,Early Modern,"Doors, locks & gates",door or gate,French Baroque court and urban,screen,a geometric wood screen door,wood,Large,Good,33000,100,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Bad_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission French Baroque court and urban; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_fr_lattice_gate_07,Early Modern,Early Modern,"Doors, locks & gates",door or gate,French Baroque court and urban,gate,a shell cedar lattice gate,cedar,VeryLarge,Standard,34800,111,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission French Baroque court and urban; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_fr_courtyard_gate_08,Early Modern,Early Modern,"Doors, locks & gates",door or gate,French Baroque court and urban,gate,a rosette teak courtyard gate,teak,VeryLarge,Poor,36600,122,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Construction Materials / Worked Timber,Holdable; Destroyable_Door; Door_Lockable_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission French Baroque court and urban; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_fr_warehouse_gate_09,Early Modern,Early Modern,"Doors, locks & gates",door or gate,French Baroque court and urban,gate,a braided wrought iron warehouse gate,wrought iron,VeryLarge,Standard,38400,133,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Lockable_Tough_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission French Baroque court and urban; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_fr_garden_gate_10,Early Modern,Early Modern,"Doors, locks & gates",door or gate,French Baroque court and urban,gate,a leaf-scroll bronze garden gate,bronze,VeryLarge,Good,40200,144,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Normal_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission French Baroque court and urban; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_fr_grille_11,Early Modern,Early Modern,"Doors, locks & gates",door or gate,French Baroque court and urban,grille,a water-wave bronze metal grille,bronze,Large,Good,42000,155,Era / Early Modern Era; Functions / Household Items / Household Construction Materials; Market / Household Goods / Standard Wares,Holdable; Destroyable_Door; Door_Secure_Large,Carpentry and joinery,Carpentry,"Early Modern doors, locks and gates catalogue; culture admission French Baroque court and urban; availability Early Modern. Door behaviour is limited to the attached supported component profile."
earlymodern_door_fr_strike_plate_12,Early Modern,Early Modern,"Doors, locks & gates",lock and hardware,French Baroque court and urban,strike plate,a vine bronze strike plate,bronze,Small,Standard,1095,95,Era / Early Modern Era; Functions / Household Items / Household Wares; Market / Household Goods / Standard Wares,Holdable; Destroyable_HeavyMetal; Latch_Normal,Locksmithing,Blacksmithing,"Early Modern doors, locks and gates hardware catalogue; culture admission French Baroque court and urban; availability Early Modern. It does not imply a custom matched-key or hidden-lock system."
