StableReference	Kind	Mechanisation	ReviewState
route_industrialised_food_staples_001	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_staples_002	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_staples_003	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_staples_004	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_staples_005	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_staples_006	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_staples_007	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_staples_008	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_staples_009	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_staples_010	planned-production	period-and-concept-specific	DependencyReviewed
route_industrial_food_staples_001	planned-production	period-and-concept-specific	DependencyReviewed
route_industrial_food_staples_002	planned-production	period-and-concept-specific	DependencyReviewed
route_modern_food_staples_001	planned-production	period-and-concept-specific	DependencyReviewed
route_modern_food_staples_002	planned-production	period-and-concept-specific	DependencyReviewed
route_modern_food_staples_003	planned-production	period-and-concept-specific	DependencyReviewed
route_nuclear_food_staples_001	planned-production	period-and-concept-specific	DependencyReviewed
route_information_food_staples_001	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_baking_001	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_baking_002	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_baking_003	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_baking_004	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_baking_005	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_baking_006	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_baking_007	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_baking_008	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_baking_009	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_baking_010	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_baking_011	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_baking_012	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_baking_013	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_baking_014	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_baking_015	planned-production	period-and-concept-specific	DependencyReviewed
route_industrialised_food_baking_016	planned-production	period-and-concept-specific	DependencyReviewed
